
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1073,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
9879,ERROR,NavTask,NavigationTask time, 0
9881,ERROR,GGATask,GGATask time, 1
9953,ERROR,GNSSTask,GNSS checkUblox time, 1
9976,ERROR,ControlTask,ControlTask time, 0
9979,ERROR,NavTask,NavigationTask time, 0
10054,ERROR,GNSSTask,GNSS checkUblox time, 1
10076,ERROR,ControlTask,ControlTask time, 0
10079,ERROR,NavTask,NavigationTask time, 0
10155,ERROR,GNSSTask,GNSS checkUblox time, 1
10176,ERROR,ControlTask,ControlTask time, 0
10179,ERROR,NavTask,NavigationTask time, 0
10256,ERROR,GNSSTask,GNSS checkUblox time, 1
10276,ERROR,ControlTask,ControlTask time, 0
10279,ERROR,NavTask,NavigationTask time, 0
10357,ERROR,GNSSTask,GNSS checkUblox time, 1
10376,ERROR,ControlTask,ControlTask time, 0
10379,ERROR,NavTask,NavigationTask time, 0
10458,ERROR,GNSSTask,GNSS checkUblox time, 1
10476,ERROR,ControlTask,ControlTask time, 0
10479,ERROR,NavTask,NavigationTask time, 0
10559,ERROR,GNSSTask,GNSS checkUblox time, 1
10576,ERROR,ControlTask,ControlTask time, 0
10579,ERROR,NavTask,NavigationTask time, 0
10660,ERROR,GNSSTask,GNSS checkUblox time, 1
10676,ERROR,ControlTask,ControlTask time, 0
10679,ERROR,NavTask,NavigationTask time, 0
10761,ERROR,GNSSTask,GNSS checkUblox time, 1
10776,ERROR,ControlTask,ControlTask time, 0
10779,ERROR,NavTask,NavigationTask time, 0
10862,ERROR,GNSSTask,GNSS checkUblox time, 1
10876,ERROR,ControlTask,ControlTask time, 0
10879,ERROR,NavTask,NavigationTask time, 0
10881,ERROR,GGATask,GGATask time, 1
10963,ERROR,GNSSTask,GNSS checkUblox time, 1
10976,ERROR,ControlTask,ControlTask time, 0
10979,ERROR,NavTask,NavigationTask time, 0
11064,ERROR,GNSSTask,GNSS checkUblox time, 1
11076,ERROR,ControlTask,ControlTask time, 0
11079,ERROR,NavTask,NavigationTask time, 0
11165,ERROR,GNSSTask,GNSS checkUblox time, 1
11176,ERROR,ControlTask,ControlTask time, 0
11179,ERROR,NavTask,NavigationTask time, 0
11266,ERROR,GNSSTask,GNSS checkUblox time, 1
11276,ERROR,ControlTask,ControlTask time, 0
11279,ERROR,NavTask,NavigationTask time, 0
11367,ERROR,GNSSTask,GNSS checkUblox time, 1
11376,ERROR,ControlTask,ControlTask time, 0
11379,ERROR,NavTask,NavigationTask time, 0
11468,ERROR,GNSSTask,GNSS checkUblox time, 1
11476,ERROR,ControlTask,ControlTask time, 0
11479,ERROR,NavTask,NavigationTask time, 0
11569,ERROR,GNSSTask,GNSS checkUblox time, 1
11576,ERROR,ControlTask,ControlTask time, 0
11579,ERROR,NavTask,NavigationTask time, 0
11670,ERROR,GNSSTask,GNSS checkUblox time, 1
11676,ERROR,ControlTask,ControlTask time, 0
11679,ERROR,NavTask,NavigationTask time, 0
11771,ERROR,GNSSTask,GNSS checkUblox time, 1
11776,ERROR,ControlTask,ControlTask time, 0
11779,ERROR,NavTask,NavigationTask time, 0
11872,ERROR,GNSSTask,GNSS checkUblox time, 1
11876,ERROR,ControlTask,ControlTask time, 0
11879,ERROR,NavTask,NavigationTask time, 0
11881,ERROR,GGATask,GGATask time, 1
11973,ERROR,GNSSTask,GNSS checkUblox time, 1
11976,ERROR,ControlTask,ControlTask time, 0
11979,ERROR,NavTask,NavigationTask time, 0
12074,ERROR,GNSSTask,GNSS checkUblox time, 1
12076,ERROR,ControlTask,ControlTask time, 0
12079,ERROR,NavTask,NavigationTask time, 0
12175,ERROR,GNSSTask,GNSS checkUblox time, 1
12176,ERROR,ControlTask,ControlTask time, 0
12179,ERROR,NavTask,NavigationTask time, 0
12276,ERROR,GNSSTask,GNSS checkUblox time, 1
12276,ERROR,ControlTask,ControlTask time, 0
12279,ERROR,NavTask,NavigationTask time, 0
12376,ERROR,ControlTask,ControlTask time, 0
12377,ERROR,GNSSTask,GNSS checkUblox time, 1
12379,ERROR,NavTask,NavigationTask time, 0
12476,ERROR,ControlTask,ControlTask time, 0
12478,ERROR,GNSSTask,GNSS checkUblox time, 1
12479,ERROR,NavTask,NavigationTask time, 0
12576,ERROR,ControlTask,ControlTask time, 0
12579,ERROR,GNSSTask,GNSS checkUblox time, 1
12579,ERROR,NavTask,NavigationTask time, 0
12676,ERROR,ControlTask,ControlTask time, 0
12680,ERROR,GNSSTask,GNSS checkUblox time, 1
12680,ERROR,NavTask,NavigationTask time, 0
12776,ERROR,ControlTask,ControlTask time, 0
12779,ERROR,NavTask,NavigationTask time, 0
12781,ERROR,GNSSTask,GNSS checkUblox time, 1
12876,ERROR,ControlTask,ControlTask time, 0
12879,ERROR,NavTask,NavigationTask time, 0
12881,ERROR,GGATask,GGATask time, 1
12976,ERROR,ControlTask,ControlTask time, 0
12979,ERROR,NavTask,NavigationTask time, 0
13076,ERROR,ControlTask,ControlTask time, 0
13079,ERROR,NavTask,NavigationTask time, 0
13176,ERROR,ControlTask,ControlTask time, 0
13179,ERROR,NavTask,NavigationTask time, 0
13276,ERROR,ControlTask,ControlTask time, 0
13279,ERROR,NavTask,NavigationTask time, 0
13376,ERROR,ControlTask,ControlTask time, 0
13379,ERROR,NavTask,NavigationTask time, 0
13476,ERROR,ControlTask,ControlTask time, 0
13479,ERROR,NavTask,NavigationTask time, 0
13576,ERROR,ControlTask,ControlTask time, 0
13579,ERROR,NavTask,NavigationTask time, 0
13676,ERROR,ControlTask,ControlTask time, 0
13679,ERROR,NavTask,NavigationTask time, 0
13776,ERROR,ControlTask,ControlTask time, 0
13779,ERROR,NavTask,NavigationTask time, 0
13876,ERROR,ControlTask,ControlTask time, 0
13879,ERROR,NavTask,NavigationTask time, 0
13976,ERROR,ControlTask,ControlTask time, 0
13982,ERROR,GGATask,GGATask time, 102
14009,ERROR,NavTask,NavigationTask time, 0
14014,ERROR,GNSSTask,pushRawData time, 31
14015,ERROR,GNSSTask,GNSS checkUblox time, 1
14015,ERROR,GNSSTask,GNSSTask time, 1084
14016,ERROR,GNSSTask,GNSS checkUblox time, 1
14016,ERROR,GNSSTask,GNSSTask time, 1
14017,ERROR,GNSSTask,GNSS checkUblox time, 1
14018,ERROR,GNSSTask,GNSSTask time, 2
14019,ERROR,GNSSTask,GNSSTask time, 1
14020,ERROR,GNSSTask,GNSSTask time, 1
14021,ERROR,GNSSTask,GNSS checkUblox time, 1
14021,ERROR,GNSSTask,GNSSTask time, 1
14023,ERROR,GNSSTask,GNSSTask time, 1
14024,ERROR,GNSSTask,GNSS checkUblox time, 1
14024,ERROR,GNSSTask,GNSSTask time, 1
14025,ERROR,GNSSTask,GNSS checkUblox time, 1
14025,ERROR,GNSSTask,GNSSTask time, 1
14026,ERROR,GNSSTask,GNSS checkUblox time, 1
14026,ERROR,GNSSTask,GNSSTask time, 1
14028,ERROR,GNSSTask,GNSSTask time, 2
14032,ERROR,GNSSTask,GNSS checkUblox time, 1
14033,ERROR,GNSSTask,GNSSTask time, 2
14076,ERROR,ControlTask,ControlTask time, 0
14079,ERROR,NavTask,NavigationTask time, 0
14133,ERROR,GNSSTask,GNSS checkCallbacks time, 1
14133,ERROR,GNSSTask,GNSS checkUblox time, 2
14133,ERROR,GNSSTask,GNSSTask time, 2
14176,ERROR,ControlTask,ControlTask time, 0
14179,ERROR,NavTask,NavigationTask time, 0
14233,ERROR,GNSSTask,GNSS checkUblox time, 2
14233,ERROR,GNSSTask,GNSSTask time, 2
14276,ERROR,ControlTask,ControlTask time, 0
14279,ERROR,NavTask,NavigationTask time, 0
14333,ERROR,GNSSTask,GNSS checkUblox time, 1
14333,ERROR,GNSSTask,GNSSTask time, 2
14376,ERROR,ControlTask,ControlTask time, 0
14379,ERROR,NavTask,NavigationTask time, 0
14432,ERROR,GNSSTask,GNSS checkUblox time, 1
14433,ERROR,GNSSTask,GNSSTask time, 2
14476,ERROR,ControlTask,ControlTask time, 0
14479,ERROR,NavTask,NavigationTask time, 0
14563,ERROR,GNSSTask,pushRawData time, 32
14564,ERROR,GNSSTask,GNSS checkUblox time, 1
14565,ERROR,GNSSTask,GNSSTask time, 34
14576,ERROR,ControlTask,ControlTask time, 0
14579,ERROR,NavTask,NavigationTask time, 0
14640,ERROR,GNSSTask,pushRawData time, 9
14641,ERROR,GNSSTask,GNSS checkUblox time, 1
14641,ERROR,GNSSTask,GNSSTask time, 10
14676,ERROR,ControlTask,ControlTask time, 0
14679,ERROR,NavTask,NavigationTask time, 0
14733,ERROR,GNSSTask,GNSS checkUblox time, 2
14733,ERROR,GNSSTask,GNSSTask time, 2
14776,ERROR,ControlTask,ControlTask time, 0
14779,ERROR,NavTask,NavigationTask time, 0
14833,ERROR,GNSSTask,GNSS checkUblox time, 1
14833,ERROR,GNSSTask,GNSSTask time, 2
14876,ERROR,ControlTask,ControlTask time, 0
14879,ERROR,NavTask,NavigationTask time, 0
14887,ERROR,GGATask,GGATask time, 7
14933,ERROR,GNSSTask,GNSS checkUblox time, 2
14933,ERROR,GNSSTask,GNSSTask time, 2
14976,ERROR,ControlTask,ControlTask time, 0
14979,ERROR,NavTask,NavigationTask time, 0
15033,ERROR,GNSSTask,GNSS checkUblox time, 2
15033,ERROR,GNSSTask,GNSSTask time, 2
15076,ERROR,ControlTask,ControlTask time, 0
15079,ERROR,NavTask,NavigationTask time, 0
15133,ERROR,GNSSTask,GNSS checkUblox time, 2
15133,ERROR,GNSSTask,GNSSTask time, 2
15176,ERROR,ControlTask,ControlTask time, 0
15179,ERROR,NavTask,NavigationTask time, 0
15233,ERROR,GNSSTask,GNSS checkUblox time, 2
15233,ERROR,GNSSTask,GNSSTask time, 2
15276,ERROR,ControlTask,ControlTask time, 0
15279,ERROR,NavTask,NavigationTask time, 0
15333,ERROR,GNSSTask,GNSS checkUblox time, 1
15333,ERROR,GNSSTask,GNSSTask time, 2
15376,ERROR,ControlTask,ControlTask time, 0
15379,ERROR,NavTask,NavigationTask time, 0
15432,ERROR,GNSSTask,GNSS checkUblox time, 1
15433,ERROR,GNSSTask,GNSSTask time, 2
15476,ERROR,ControlTask,ControlTask time, 0
15479,ERROR,NavTask,NavigationTask time, 0
15532,ERROR,GNSSTask,GNSS checkUblox time, 1
15533,ERROR,GNSSTask,GNSSTask time, 2
15576,ERROR,ControlTask,ControlTask time, 0
15579,ERROR,NavTask,NavigationTask time, 0
15633,ERROR,GNSSTask,GNSS checkUblox time, 2
15633,ERROR,GNSSTask,GNSSTask time, 2
15676,ERROR,ControlTask,ControlTask time, 0
15679,ERROR,NavTask,NavigationTask time, 0
15750,ERROR,GNSSTask,pushRawData time, 19
